,Sex,State,Age Group,Year,Deaths_x,Population,Crude Rate,Deaths_y
429,Females,Hawaii,75-79 yrs,1999,0,18874,0,0
430,Males,Hawaii,80-84 yrs,1999,0,9307,0,0
431,Females,Hawaii,80-84 yrs,1999,0,12211,0,0
432,Males,Hawaii,85+ yrs,1999,0,7078,0,0
433,Females,Hawaii,85+ yrs,1999,0,9830,0,0
434,Males,Idaho,00-04 yrs,1999,0,49302,0,0
435,Females,Idaho,00-04 yrs,1999,0,46884,0,0
436,Males,Idaho,05-09 yrs,1999,0,51324,0,0
437,Females,Idaho,05-09 yrs,1999,0,48405,0,0
438,Males,Idaho,10-14 yrs,1999,0,53388,0,0
439,Females,Idaho,10-14 yrs,1999,0,50591,0,0
440,Males,Idaho,15-19 yrs,1999,10,56504,17.7,12
441,Females,Idaho,15-19 yrs,1999,0,55083,0,0
442,Males,Idaho,20-24 yrs,1999,0,48064,0,12
443,Females,Idaho,20-24 yrs,1999,0,44373,0,0
444,Males,Idaho,25-29 yrs,1999,0,42785,0,0
445,Females,Idaho,25-29 yrs,1999,0,40055,0,0
446,Males,Idaho,30-34 yrs,1999,0,41822,0,16
447,Females,Idaho,30-34 yrs,1999,0,40173,0,0
448,Males,Idaho,35-39 yrs,1999,14,48458,28.89,20
449,Females,Idaho,35-39 yrs,1999,0,47500,0,0
450,Males,Idaho,40-44 yrs,1999,0,48928,0,11
451,Females,Idaho,40-44 yrs,1999,0,48610,0,0
