,Sex,State,Age Group,Year,Deaths_x,Population,Crude Rate_x,Deaths_y,Crude Rate_y
191,,Arkansas,40-44 yrs,1999.0,15,194986,7.69,23,11.8
192,Males,Arkansas,45-49 yrs,1999.0,0,87212,0.0,0,0.0
193,Females,Arkansas,45-49 yrs,1999.0,0,91129,0.0,0,0.0
194,,Arkansas,45-49 yrs,1999.0,0,178341,0.0,0,0.0
195,Males,Arkansas,50-54 yrs,1999.0,0,79096,0.0,0,0.0
196,Females,Arkansas,50-54 yrs,1999.0,0,82606,0.0,0,0.0
197,,Arkansas,50-54 yrs,1999.0,0,161702,0.0,11,6.8
198,Males,Arkansas,55-59 yrs,1999.0,0,64874,0.0,0,0.0
199,Females,Arkansas,55-59 yrs,1999.0,0,70390,0.0,0,0.0
200,,Arkansas,55-59 yrs,1999.0,0,135264,0.0,0,0.0
201,Males,Arkansas,60-64 yrs,1999.0,0,55007,0.0,0,0.0
202,Females,Arkansas,60-64 yrs,1999.0,0,60746,0.0,0,0.0
203,,Arkansas,60-64 yrs,1999.0,0,115753,0.0,0,0.0
204,Males,Arkansas,65-69 yrs,1999.0,0,48436,0.0,0,0.0
205,Females,Arkansas,65-69 yrs,1999.0,0,56325,0.0,0,0.0
206,,Arkansas,65-69 yrs,1999.0,0,104761,0.0,0,0.0
207,Males,Arkansas,70-74 yrs,1999.0,0,40957,0.0,0,0.0
208,Females,Arkansas,70-74 yrs,1999.0,0,52218,0.0,0,0.0
209,,Arkansas,70-74 yrs,1999.0,0,93175,0.0,0,0.0
210,Males,Arkansas,75-79 yrs,1999.0,0,31307,0.0,0,0.0
211,Females,Arkansas,75-79 yrs,1999.0,0,45026,0.0,0,0.0
212,,Arkansas,75-79 yrs,1999.0,0,76333,0.0,0,0.0
213,Males,Arkansas,80-84 yrs,1999.0,0,19232,0.0,0,0.0
214,Females,Arkansas,80-84 yrs,1999.0,0,33233,0.0,0,0.0
215,,Arkansas,80-84 yrs,1999.0,0,52465,0.0,0,0.0
216,Males,Arkansas,85+ yrs,1999.0,0,13298,0.0,0,0.0
217,Females,Arkansas,85+ yrs,1999.0,0,32564,0.0,0,0.0
218,,Arkansas,85+ yrs,1999.0,0,45862,0.0,0,0.0
219,Males,California,00-04 yrs,1999.0,0,1285758,0.0,36,2.8
