,Sex,State,Age Group,Year,Population,Deaths SF,Crude Rate SF,Deaths SI,Crude Rate SI,Deaths HF,Crude Rate HF,Deaths HI,Crude Rate HI
190,Females,Colorado,20-24 yrs,1999,138595,0,0.0,0,0.0,0,0.0,0,0.0
191,Males,Colorado,25-29 yrs,1999,172127,26,15.11,46,26.72,19,11.04,28,16.27
192,Females,Colorado,25-29 yrs,1999,154802,0,0.0,0,0.0,0,0.0,10,6.46
193,Males,Colorado,30-34 yrs,1999,170123,24,14.11,40,23.51,0,0.0,12,7.05
194,Females,Colorado,30-34 yrs,1999,157805,0,0.0,0,0.0,0,0.0,0,0.0
195,Males,Colorado,35-39 yrs,1999,188555,23,12.2,51,27.05,10,5.3,13,6.89
196,Females,Colorado,35-39 yrs,1999,183302,0,0.0,15,8.18,0,0.0,0,0.0
197,Males,Colorado,40-44 yrs,1999,184718,25,13.53,55,29.78,0,0.0,16,8.66
198,Females,Colorado,40-44 yrs,1999,182388,0,0.0,14,7.68,0,0.0,0,0.0
199,Males,Colorado,45-49 yrs,1999,163872,24,14.65,41,25.02,0,0.0,10,6.1
200,Females,Colorado,45-49 yrs,1999,163353,0,0.0,19,11.63,0,0.0,0,0.0
201,Males,Colorado,50-54 yrs,1999,133516,24,17.98,41,30.71,0,0.0,0,0.0
202,Females,Colorado,50-54 yrs,1999,132318,0,0.0,0,0.0,0,0.0,0,0.0
203,Males,Colorado,55-59 yrs,1999,92341,16,17.33,24,25.99,0,0.0,0,0.0
204,Females,Colorado,55-59 yrs,1999,94498,0,0.0,0,0.0,0,0.0,0,0.0
205,Males,Colorado,60-64 yrs,1999,69459,0,0.0,13,18.72,0,0.0,0,0.0
206,Females,Colorado,60-64 yrs,1999,72748,0,0.0,0,0.0,0,0.0,0,0.0
207,Males,Colorado,65-69 yrs,1999,57016,15,26.31,17,29.82,0,0.0,0,0.0
208,Females,Colorado,65-69 yrs,1999,63025,0,0.0,0,0.0,0,0.0,0,0.0
209,Males,Colorado,70-74 yrs,1999,46679,15,32.13,16,34.28,0,0.0,0,0.0
210,Females,Colorado,70-74 yrs,1999,57699,0,0.0,0,0.0,0,0.0,0,0.0
211,Males,Colorado,75-79 yrs,1999,35492,13,36.63,14,39.45,0,0.0,0,0.0
212,Females,Colorado,75-79 yrs,1999,48990,0,0.0,0,0.0,0,0.0,0,0.0
213,Males,Colorado,80-84 yrs,1999,20879,11,52.68,13,62.26,0,0.0,0,0.0
214,Females,Colorado,80-84 yrs,1999,33742,0,0.0,0,0.0,0,0.0,0,0.0
215,Males,Colorado,85+ yrs,1999,13720,0,0.0,10,72.89,0,0.0,0,0.0
216,Females,Colorado,85+ yrs,1999,33532,0,0.0,0,0.0,0,0.0,0,0.0
217,Males,Connecticut,00-04 yrs,1999,113898,0,0.0,0,0.0,0,0.0,0,0.0
218,Females,Connecticut,00-04 yrs,1999,108919,0,0.0,0,0.0,0,0.0,0,0.0
219,Males,Connecticut,05-09 yrs,1999,125644,0,0.0,0,0.0,0,0.0,0,0.0
220,Females,Connecticut,05-09 yrs,1999,119741,0,0.0,0,0.0,0,0.0,0,0.0
221,Males,Connecticut,10-14 yrs,1999,120825,0,0.0,0,0.0,0,0.0,0,0.0
222,Females,Connecticut,10-14 yrs,1999,115228,0,0.0,0,0.0,0,0.0,0,0.0
223,Males,Connecticut,15-19 yrs,1999,109549,0,0.0,0,0.0,11,10.04,12,10.95
224,Females,Connecticut,15-19 yrs,1999,103613,0,0.0,0,0.0,0,0.0,0,0.0
225,Males,Connecticut,20-24 yrs,1999,94211,11,11.68,18,19.11,19,20.17,19,20.17
226,Females,Connecticut,20-24 yrs,1999,91683,0,0.0,0,0.0,0,0.0,0,0.0
227,Males,Connecticut,25-29 yrs,1999,103156,0,0.0,15,14.54,16,15.51,16,15.51
228,Females,Connecticut,25-29 yrs,1999,104776,0,0.0,0,0.0,0,0.0,0,0.0
229,Males,Connecticut,30-34 yrs,1999,124842,0,0.0,18,14.42,0,0.0,0,0.0
230,Females,Connecticut,30-34 yrs,1999,129662,0,0.0,0,0.0,0,0.0,0,0.0
231,Males,Connecticut,35-39 yrs,1999,143763,0,0.0,22,15.3,0,0.0,0,0.0
232,Females,Connecticut,35-39 yrs,1999,149312,0,0.0,15,10.05,0,0.0,0,0.0
233,Males,Connecticut,40-44 yrs,1999,140798,10,7.1,16,11.36,0,0.0,10,7.1
234,Females,Connecticut,40-44 yrs,1999,145646,0,0.0,0,0.0,0,0.0,0,0.0
235,Males,Connecticut,45-49 yrs,1999,120900,12,9.93,25,20.68,0,0.0,0,0.0
236,Females,Connecticut,45-49 yrs,1999,125996,0,0.0,0,0.0,0,0.0,0,0.0
237,Males,Connecticut,50-54 yrs,1999,107574,10,9.3,18,16.73,0,0.0,0,0.0
238,Females,Connecticut,50-54 yrs,1999,114850,0,0.0,0,0.0,0,0.0,0,0.0
239,Males,Connecticut,55-59 yrs,1999,83021,0,0.0,15,18.07,0,0.0,0,0.0
240,Females,Connecticut,55-59 yrs,1999,88551,0,0.0,0,0.0,0,0.0,0,0.0
241,Males,Connecticut,60-64 yrs,1999,62088,0,0.0,19,30.6,0,0.0,0,0.0
242,Females,Connecticut,60-64 yrs,1999,68799,0,0.0,0,0.0,0,0.0,0,0.0
243,Males,Connecticut,65-69 yrs,1999,54264,0,0.0,10,18.43,0,0.0,0,0.0
244,Females,Connecticut,65-69 yrs,1999,64101,0,0.0,0,0.0,0,0.0,0,0.0
245,Males,Connecticut,70-74 yrs,1999,50018,0,0.0,10,19.99,0,0.0,0,0.0
246,Females,Connecticut,70-74 yrs,1999,64954,0,0.0,0,0.0,0,0.0,0,0.0
247,Males,Connecticut,75-79 yrs,1999,40944,0,0.0,10,24.42,0,0.0,0,0.0
248,Females,Connecticut,75-79 yrs,1999,59800,0,0.0,0,0.0,0,0.0,0,0.0
249,Males,Connecticut,80-84 yrs,1999,26446,0,0.0,0,0.0,0,0.0,0,0.0
250,Females,Connecticut,80-84 yrs,1999,46008,0,0.0,0,0.0,0,0.0,0,0.0
251,Males,Connecticut,85+ yrs,1999,17312,0,0.0,0,0.0,0,0.0,0,0.0
252,Females,Connecticut,85+ yrs,1999,45509,0,0.0,0,0.0,0,0.0,0,0.0
253,Males,Delaware,00-04 yrs,1999,26061,0,0.0,0,0.0,0,0.0,0,0.0
254,Females,Delaware,00-04 yrs,1999,25008,0,0.0,0,0.0,0,0.0,0,0.0
255,Males,Delaware,05-09 yrs,1999,28683,0,0.0,0,0.0,0,0.0,0,0.0
256,Females,Delaware,05-09 yrs,1999,27085,0,0.0,0,0.0,0,0.0,0,0.0
257,Males,Delaware,10-14 yrs,1999,27675,0,0.0,0,0.0,0,0.0,0,0.0
258,Females,Delaware,10-14 yrs,1999,26385,0,0.0,0,0.0,0,0.0,0,0.0
259,Males,Delaware,15-19 yrs,1999,27531,0,0.0,0,0.0,0,0.0,0,0.0
